ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
47	None	72 73 74	vomit	1278	Abipon	gr+emali+tapek		Guaicuruan	g r + e m a l i + t a p e k	gr+emali+tapek			2°s
48	None	6 75	feather	1201	Abipon	l+etegk	_:poss hair	Guaicuruan	l + e t e g k	letegk			
49	None	76	narrow	1267	Abipon	eneci	narrow	Guaicuruan	e n e tʃ i	eneci			
50	n k aː t + e k	77 78	fire	221	Abipon	nkaat+ek		Guaicuruan	n k aː t + e k	nkaat+ek			
51	e w o ʁ a j e	79	sea	1474	Abipon	eooRaie		Guaicuruan	e w o ʁ a j e	eooRaie			T. el Paraná
52	e w o ʁ a j e + l + a t e	79 6 80	sea	1474	Abipon	eooRaie l+ate	_:poss mother	Guaicuruan	e w o ʁ a j e + l + a t e	eooRaie l+ate			
53	tʃ i g + r w a h j e t a	81 82	dry	1398	Abipon	cig roahieta		Guaicuruan	tʃ i g + r w a h j e t a	cig roahieta			No está lloviendo
54	n aː t a p i tʃ i	1 83 84	four	1500	Abipon	naatapici		Guaicuruan	n aː t a p i tʃ i	naatapici			
55	k e j e ŋ k + ɲ a t e	85 83	four	1500	Abipon	keienk ñate	ostrich paws	Guaicuruan	k e j e ŋ k + ɲ a t e	keienk ñate			Ostrich paws. According to Dobrizhoffer, this word means 'four'
56	None	86	woman	962	Abipon	oanerma		Guaicuruan	w a n e r m a	oanerma			T. hermana (?)
57	None	87	yellow	1424	Abipon	aoig		Guaicuruan	a w i g	aoig			
58	i k ai	53 88	yellow	1424	Abipon	i+kai		Guaicuruan	i k ai	ikai			
59	k ei ɲ i	88	yellow	1424	Abipon	keiñi		Guaicuruan	k ei ɲ i	keiñi			
60	None	1 18 89	fly (vb)	1441	Abipon	nata+hegem	move _:up	Guaicuruan	n + a t a + h e g e m	natahegem			
61	None	90	root	670	Abipon	pana		Guaicuruan	p a n a	pana			
62	None	91	you (singular)	1215	Abipon	akami		Guaicuruan	a k a m i	akami			
63	None	92	lake	624	Abipon	kahim		Guaicuruan	k a h i m	kahim			In some old sources, the glottal stop was represented as 'h'. This is a big candidate
64	a w o r a j e	93 94	black	163	Abipon	aooraie		Guaicuruan	a w o r a j e	aooraie			Possibly a cognate of 'laidaxai'
65	n + a w e	95	black	163	Abipon	naoe	_:3sg black	Guaicuruan	n + a w e	naoe			
66	None	96	black	163	Abipon	nenegin		Guaicuruan	n e n e g i n	nenegin			
67	None	97	throw	1456	Abipon	ataq		Guaicuruan	a t a q	ataq			
68	None	97 98	throw	1456	Abipon	ha+oalat		Guaicuruan	h a + w a l a t	ha+oalat			
69	n a g m a j a ʁ a	99 3	dust	2	Abipon	nagmaiaRa		Guaicuruan	n a g m a j a ʁ a	nagmaiaRa			Probably a cognate of namoxoyaxa
70	None	100	day	1225	Abipon	neoga		Guaicuruan	n e o g a	neoga			contable. T tiempo
71	None	101	who?	1235	Abipon	kahami		Guaicuruan	k a h a m i	kahami			
72	eː r g ʁ ai k	102 103	star	1430	Abipon	eergRaik		Guaicuruan	eː r g ʁ ai k	eergRaik			Perhaps related to 'shine' and 'moon'
73	None	104	right, correct	1725	Abipon	ioamq		Guaicuruan	i w a m q	ioamq			
74	None	53 105	right, correct	1725	Abipon	i+lik	_/i ?	Guaicuruan	i + l i k	i+lik			Tiene razón
75	None	106	dig	1418	Abipon	emet		Guaicuruan	e m e t	emet			
76	None	6 80	mother	1216	Abipon	l+ate	_:poss mother	Guaicuruan	l + a t e	late			
77	None	107 108 15	cut	1432	Abipon	ñ+ahateg+Ran	_:1sg ? _:suf.v	Guaicuruan	ɲ + a h a t e g + ʁ a n	ñ+ahateg+Ran			1°s
78	a p j a	109	cut	1432	Abipon	apia		Guaicuruan	a p j a	apia			
79	None	110 53	cut	1432	Abipon	i+i	_/i _/i	Guaicuruan	i + i	i+i			
80	None	6 18 15	cut	1432	Abipon	l+ata+Ran	_:poss move _:suf.v	Guaicuruan	l + a t a + ʁ a n	l+ata+Ran			
81	None	111 108	cut	1432	Abipon	icaR+aq		Guaicuruan	i tʃ a ʁ + a q	icaR+aq			cortamos
82	None	111	cut	1432	Abipon	kahil		Guaicuruan	k a h i l	kahil			en tajadas
83	n aː	112	bad	1292	Abipon	naa		Guaicuruan	n aː	naa			También feo
84	None	113	come	1446	Abipon	anek		Guaicuruan	a n e k	anek			
85	ɲ a w e	107 114	come	1446	Abipon	ñaoe		Guaicuruan	ɲ a w e	ñaoe			Perhaps a cognate of 'nauec' to bring
86	None	6 75	leaf	628	Abipon	l+etegk	_:poss hair	Guaicuruan	l + e t e g k	letegk			
87	h i + p i g e m	115	sky	1732	Abipon	hipigem	_:/hi sky	Guaicuruan	h i + p i g e m	hipigem			
88	None	1 116	sew	1457	Abipon	n+ici	_:pos ?	Guaicuruan	n + i tʃ i	n+ici			
89	None	1 117	smoke (noun)	778	Abipon	n+ehala	_:pos ?	Guaicuruan	n + e h a l a	n+ehala			
90	l a w e l a g ʁ a	6 118 3	bark	1204	Abipon	laoelagRa		Guaicuruan	l a w e l a g ʁ a	laoelagRa			
91	h a l + a k	70 71	bark	1204	Abipon	hal+ak	_:poss skin	Guaicuruan	h a l + a k	halak			
92	l w a h i	6 119	bark	1204	Abipon	loahi		Guaicuruan	l w a h i	loahi			
93	None	120	green	1425	Abipon	pahe		Guaicuruan	p a h e	pahe			
94	None	1 121	rotten	1728	Abipon	n+ëmëga	_:pos ?	Guaicuruan	n + e m e g a	n+ëmëga			
95	None	53 122 123	wet, damp	1726	Abipon	i+ak+it	_/i ? ?	Guaicuruan	i + a k + i t	i+ak+it			
96	None	124	if	1459	Abipon	am		Guaicuruan	a m	am			
97	i ɲ w a k a + j e k a i ɲ i	125 126 127	three	492	Abipon	iñoaka iekaiñi	two ?	Guaicuruan	i ɲ w a k a + j e k a i ɲ i	iñoaka iekaiñi			
98	k e j e ŋ k + ɲ a t e	85 125	three	492	Abipon	keienk ñate	ostrich paws	Guaicuruan	k e j e ŋ k + ɲ a t e	keienk ñate			According to Najlis, this is actually 'three'
99	j a l a k	53 128	white	1335	Abipon	ialak		Guaicuruan	j a l a k	ialak			
100	None	20 129 15	say	1458	Abipon	r+akat+Ran	_:3p ? _:suf.v	Guaicuruan	r + a k a t + ʁ a n	r+akat+Ran			
101	None	130 131 132	say	1458	Abipon	m+ëhën+am		Guaicuruan	m + e h e n + a m	m+ëhën+am			diré
102	None	133 134	say	1458	Abipon	en+apek		Guaicuruan	e n + a p e k	en+apek			lo dice
103	None	1 135	thick (in dimension)	1244	Abipon	n+kenam	_:pos ?	Guaicuruan	n + k e n a m	n+kenam			
104	i ɲ j e g a	136	year	1226	Abipon	iñiega		Guaicuruan	i ɲ j e g a	iñiega			Also 'algarrobo flower' and 'summer'
105	ɲ a ɲ a m	107 137	drink	1401	Abipon	ñañam		Guaicuruan	ɲ a ɲ a m	ñañam			
106	n eː t	1 138	drink	1401	Abipon	n+eet		Guaicuruan	n eː t	neet			
107	w i k	139	drink	1401	Abipon	oik		Guaicuruan	w i k	oik			
108	l + e n w i + g ʁ ai + k	6 140 141	flower	239	Abipon	l+enoig+Raik	_:poss blossom _:adj _:masc	Guaicuruan	l + e n w i + g ʁ ai + k	lenoigRaik			Also 'rose', according to Najlis. Controversial
109	None	142	water	948	Abipon	enaRap		Guaicuruan	e n a ʁ a p	enaRap			
110	None	143 17	water	948	Abipon	ili+k	_:masc	Guaicuruan	i l i + k	ili+k			
111	None	1 144	left (side)	244	Abipon	n+emaRk	_:pos ?	Guaicuruan	n + e m a ʁ k	n+emaRk			
112	r i a ʁ ai k	145 146 17	know	1410	Abipon	ri+aRai+k		Guaicuruan	r i a ʁ ai k	riaRaik			
113	j a k a t e g e	53 147 148	know	1410	Abipon	i+akat+ege		Guaicuruan	j a k a t e g e	iakatege			
114	j a r e n	53 149	know	1410	Abipon	i+aren		Guaicuruan	j a r e n	iaren			
115	ɲ e t o n	107 149	know	1410	Abipon	ñ+eton		Guaicuruan	ɲ e t o n	ñeton			
116	a h a ɲ i + h e g e m	150 151 89	stand	1442	Abipon	ahañi+hegem	stand _:dir	Guaicuruan	a h a ɲ i + h e g e m	ahañihegem			
117	None	152	ashes	646	Abipon	aci		Guaicuruan	a tʃ i	aci			Controversial
118	l aː	153	large, big	1202	Abipon	laa		Guaicuruan	l aː	laa			
119	l a t e ŋ k a	154 155	large, big	1202	Abipon	latenka		Guaicuruan	l a t e ŋ k a	latenka			
120	None	156	short	1645	Abipon	larici		Guaicuruan	l a r i tʃ i	larici			
121	None	157	night	1233	Abipon	nehaol		Guaicuruan	n e h a o l	nehaol			
122	None	158	night	1233	Abipon	nenegin		Guaicuruan	n e n e g i n	nenegin			De nenek, negro, noche
123	None	6 159 15 3	sand	671	Abipon	l+apaog+Ran+Ra	_:poss ? _:suf.v _:nmlz	Guaicuruan	l + a p a o g + ʁ a n + ʁ a	l+apaog+Ran+Ra			
124	aː	160	wide, broad	1243	Abipon	-aa		Guaicuruan	aː	-aa			
125	a k a m iː	161	you (plural)	1213	Abipon	akamii		Guaicuruan	a k a m iː	akamii			
126	None	6 162	fog	249	Abipon	l+page	_:poss ?	Guaicuruan	l + p a g e	l+page			
127	None	163 164 89	five	493	Abipon	h+anam+hegem	_:1sg finish _:dir	Guaicuruan	h + a n a m + h e g e m	hanamhegem			Najlis: ”I end up upwards”
128	n + eː n + h a l + a k	1 165 163 166	five	493	Abipon	n+een h+alak	_:3sg good _:poss skin	Guaicuruan	n + eː n + h a l + a k	neen halak			nice skin
129	i a e k	53 167	eat	1336	Abipon	iaek		Guaicuruan	i a e k	iaek			
130	r k e ɲ e	20 168	eat	1336	Abipon	rkeñe		Guaicuruan	r k e ɲ e	rkeñe			
131	None	168	eat	1336	Abipon	aharo		Guaicuruan	a h a r o	aharo			
132	None	169	every, all	98	Abipon	aoge		Guaicuruan	a o g e	aoge			
133	a l ai k	170	right (side)	1019	Abipon	alaik		Guaicuruan	a l ai k	alaik			
134	l a k a l a t w e	6 171 172	name	1405	Abipon	lakalatoe		Guaicuruan	l a k a l a t w e	lakalatoe			
135	a r j ai + k	173 17	good	1035	Abipon	ariai+k	_:masc	Guaicuruan	a r j ai + k	ariai+k			
136	n + eː n	1 165	good	1035	Abipon	n+een	_:pos good	Guaicuruan	n + eː n	n+een			
137	None	174 175	good	1035	Abipon	oaoap+kacigi		Guaicuruan	w a w a p + k a tʃ i g i	oaoap+kacigi			
138	None	176 177	father	1217	Abipon	le+ta	_:poss father	Guaicuruan	l e + t a	leta			
139	None	178	small, little	1246	Abipon	aolk		Guaicuruan	a o l k	aolk			
140	l e n e tʃ i	179 180	small, little	1246	Abipon	leneci		Guaicuruan	l e n e tʃ i	leneci			
141	None	181 182	when?	1238	Abipon	hegm+alage		Guaicuruan	h e g m + a l a g e	hegm+alage			No futuro
142	None	181 182 183	when?	1238	Abipon	hegm+alk+am		Guaicuruan	h e g m + a l k + a m	hegm+alk+am			Futuro
143	a i m	184	I	1209	Abipon	aim		Guaicuruan	a i m	aim			
144	None	185 186	what?	1236	Abipon	mik enege		Guaicuruan	m i k + e n e g e	mik enege			
145	None	187	long	1203	Abipon	larek		Guaicuruan	l a r e k	larek			
146	None	6 188 3	grease, fat	323	Abipon	l+epag+Ra	_:poss ? _:nmlz	Guaicuruan	l + e p a g + ʁ a	l+epag+Ra			
147	k a m a	189 190	intestines, guts	1991	Abipon	kama		Guaicuruan	k a m a	kama			
148	None	6 191	knee	1371	Abipon	l+eleokete	_:poss ?	Guaicuruan	l + e l e o k e t e	l+eleokete			pl.
149	None	192	straight	1404	Abipon	alan		Guaicuruan	a l a n	alan			
150	None	193	smell (vb trans)	1586	Abipon	kat		Guaicuruan	k a t	kat			
151	l w a h i	6 194	tree (cf 08.600)	906	Abipon	loahi		Guaicuruan	l w a h i	loahi			Also 'rose-garden' and 'bark', according to Najlis
152	None	20 195 15 15	hunt	1435	Abipon	r+ela+Ran+Ran	_:3p ? _:suf.v _:suf.v	Guaicuruan	r + e l a + ʁ a n + ʁ a n	r+ela+Ran+Ran			ela: animal
153	None	196	moon	1313	Abipon	graoek		Guaicuruan	g r a w e k	graoek			
154	None	6 197	seed	714	Abipon	l+peta	_:poss seed	Guaicuruan	l + p e t a	lpeta			
155	g r a h a o l ai	198	sun	1343	Abipon	grahaolai		Guaicuruan	g r a h a o l ai	grahaolai			
156	m p a e ʁ a	199 200 3	sun	1343	Abipon	mpaeRa		Guaicuruan	m p a e ʁ a	mpaeRa			Also 'heat'
157	None	1 201	wash	1453	Abipon	n+akarig	_:pos ?	Guaicuruan	n + a k a r i g	n+akarig			
158	k e j a	202	wash	1453	Abipon	keia		Guaicuruan	k e j a	keia			jabón. keiaRanRat
159	None	1 203 204	wash	1453	Abipon	n+epa+tek	_:pos ? ?	Guaicuruan	n + e p a + t e k	n+epa+tek			
160	None	205	sing	1261	Abipon	aen		Guaicuruan	a e n	aen			T. alabar
161	None	206 207 15	laugh	1355	Abipon	li+ahag+Ran	? _:suf.v	Guaicuruan	l i + a h a g + ʁ a n	li+ahag+Ran			1°s
162	None	207 208	laugh	1355	Abipon	ha+oen		Guaicuruan	h a + w e n	ha+oen			De alguien, hacer burla, engañar
163	None	1 209 210	tie, bind	1917	Abipon	n+oici+ge	_:pos ? _:toward	Guaicuruan	n + w i tʃ i + g e	n+oici+ge			
164	j aː t	211	give	1447	Abipon	iaat		Guaicuruan	j aː t	iaat			
165	w e n	212 213	give	1447	Abipon	-oen-		Guaicuruan	w e n	-o(en)-			
166	e j + e n	213	give	1447	Abipon	-eien-	_:3sg give	Guaicuruan	e j + e n	-eien-			Also 'sell'
167	None	214	little (quantity), few	1242	Abipon	aolka		Guaicuruan	a o l k a	aolka			
168	l e n e tʃ i	6 76	little (quantity), few	1242	Abipon	leneci		Guaicuruan	l e n e tʃ i	leneci			
169	None	1 215 216	count	1420	Abipon	n+akat+Rañi	_:pos ? ?	Guaicuruan	n + a k a t + ʁ a ɲ i	n+akat+Rañi			
170	a j e r e t e	217	much, many	1198	Abipon	aierete		Guaicuruan	a j e r e t e	aierete			
171	None	218	much, many	1198	Abipon	eneoge		Guaicuruan	e n e o g e	eneoge			
172	None	219	much, many	1198	Abipon	lam		Guaicuruan	l a m	lam			
173	l a t e ŋ k	217	much, many	1198	Abipon	latenk		Guaicuruan	l a t e ŋ k	latenk			
174	None	220	we	1212	Abipon	akam		Guaicuruan	a k a m	akam			
175	l a t a k	6 18 17	cold	1287	Abipon	latak		Guaicuruan	l a t a k	latak			
176	a ɲ a	221	sit	1416	Abipon	aña		Guaicuruan	a ɲ a	aña			
177	a j a ɲ i ɲ i	222 221 223	sit	1416	Abipon	aiañiiñi		Guaicuruan	a j a ɲ i ɲ i	aiañiiñi			
178	a k ai k e t	224	woods, forest	420	Abipon	akaiket		Guaicuruan	a k ai k e t	akaiket			monte
179	None	225	woods, forest	420	Abipon	elac		Guaicuruan	e l a tʃ	elac			monte
180	r + aː l i	20 226	smooth	1234	Abipon	r+aali	_:3p ?	Guaicuruan	r + aː l i	r+aali			Blando
181	None	6 227	fruit	1507	Abipon	l+peta	_:poss fruit	Guaicuruan	l + p e t a	lpeta			
182	None	228	river, stream, brook	666	Abipon	lacaoge		Guaicuruan	l a tʃ a o g e	lacaoge			
183	l e + l a	6 229 230	animal	619	Abipon	le+la	_:poss animal	Guaicuruan	l e + l a	lela			According to Najlis, it could also be applied to plants, though this is comparatively unlikely
184	j e g e k	231 17	animal	619	Abipon	iegek		Guaicuruan	j e g e k	iegek			
185	ai t	232	mosquito	1509	Abipon	ait		Guaicuruan	ai t	ait			
186	a p a t a j e	232 233	mosquito	1509	Abipon	apataie		Guaicuruan	a p a t a j e	apataie			
187	None	234	spider	843	Abipon	aoalin		Guaicuruan	a w a l i n	aoalin			
188	k aː l + ʁ a t	235 9	arm	1673	Abipon	kaal+Rat	hug _:nmlz	Guaicuruan	k aː l + ʁ a t	kaalRat			
189	None	236	stomach	819	Abipon	parila		Guaicuruan	p a r i l a	parila			
190	l + a h a t e	6 237	horn	1393	Abipon	l+ahate	_:poss horn	Guaicuruan	l + a h a t e	lahate			Also 'branch'
191	None	1 238 239	beard	678	Abipon	n+ahip+eoe	_:pos lip hair	Guaicuruan	n + a h i p + e w e	nahip eoe			
192	None	1 240	shoulder	1482	Abipon	n+eoaka	_:pos ?	Guaicuruan	n + e w a k a	n+eoaka			pl.
193	i w a l a	53 241	chest	1592	Abipon	ioala		Guaicuruan	i w a l a	ioala			
194	None	242	chin	1510	Abipon	anar		Guaicuruan	a n a r	anar			Controversial
195	ɲ + a h i p i	107 238 53	lip	478	Abipon	ñ+ahipi	_:poss lip	Guaicuruan	ɲ + a h i p i	ñahipi			
196	None	1 243	forehead	123	Abipon	n+atap	_:pos ?	Guaicuruan	n + a t a p	n+atap			
197	None	107 244	finger	1303	Abipon	ñ+ate	_:poss finger	Guaicuruan	ɲ + a t e	ñate			
198	k aː g e	245	elbow	981	Abipon	kaage		Guaicuruan	k aː g e	kaage			Possibly cognate of the Mocoví form
199	None	246	fingernail	1258	Abipon	enac		Guaicuruan	e n a tʃ	enac			
200	None	6 247 248	thigh	800	Abipon	l+atet+a	_:poss ? ?	Guaicuruan	l + a t e t + a	l+atet+a			
201	m a n j a tʃ j a	249	some	1241	Abipon	maniacia		Guaicuruan	m a n j a tʃ j a	maniacia			
202	iː g i g i	250 251	thunder	1150	Abipon	iigigi		Guaicuruan	iː g i g i	iigigi			
203	None	17 252	because	1157	Abipon	ok+enom		Guaicuruan	o k + e n o m	ok+enom			
204	None	17 253 254	because	1157	Abipon	k+eor+at	_:masc ? ?	Guaicuruan	k + e o r + a t	k+eor+at			
205	k a h a g ʁ a n ʁ a	255 15 3	lightning	1654	Abipon	kahag+Ran+Ra		Guaicuruan	k a h a g ʁ a n ʁ a	kahagRanRa			Cognate of 'qasoxonaxa' (thunder)
206	a h a w a ʁ a ɲ i	256 257 258 259	lie down	215	Abipon	ahaoaRañi		Guaicuruan	a h a w a ʁ a ɲ i	ahaoaRañi			
207	a h a w i	256 260 53	lie down	215	Abipon	ahaoi		Guaicuruan	a h a w i	ahaoi			
208	None	53 261	full	1429	Abipon	i+aha	_/i ?	Guaicuruan	i + a h a	i+aha			
209	j o + g i	262 263	full	1429	Abipon	io+gi		Guaicuruan	j o + g i	io+gi			
210	n + aː t + a k	1 264 265	play	1413	Abipon	n+aat+ak	_:pos ? ?	Guaicuruan	n + aː t + a k	n+aat+ak			
211	None	266 267	milk (noun)	635	Abipon	la+ce		Guaicuruan	l a + tʃ e	la+ce			hispanismo?
212	l eː ʁ i k i	6 268 269	house	1252	Abipon	lëëRiki		Guaicuruan	l eː ʁ i k i	lëëRiki			
213	n iː k	1 270	house	1252	Abipon	niik		Guaicuruan	n iː k	niik			Possibly cognate of Toba noyic
214	None	6 164 271 89	ten	1515	Abipon	l+anam+eri+hegem	_:poss finish _:pl _:dir	Guaicuruan	l + a n a m + e r i + h e g e m	lanamerihegem			
215	None	272	fight (vb)	1423	Abipon	im		Guaicuruan	i m	im			
216	None	20 273	fight (vb)	1423	Abipon	r+oelaki	_:3p fight	Guaicuruan	r + w e l a k i	roelaki			
217	None	274	fight (vb)	1423	Abipon	oici		Guaicuruan	w i tʃ i	oici			
218	None	1 275	rain (noun)	658	Abipon	n+ete	_:pos ?	Guaicuruan	n + e t e	n+ete			Verbo: n+oah+igiRa
219	k aː l e k a w a l k	276 277	owl	735	Abipon	kaalekaoalk		Guaicuruan	k aː l e k a w a l k	kaalekaoalk			Najlis: mochuelo
220	k i k i k	277	owl	735	Abipon	kikik		Guaicuruan	k i k i k	kikik			
221	None	278	hen	1514	Abipon	greterik	hen	Guaicuruan	g r e t e r i k	greterik			
222	None	279	hen	1514	Abipon	tetarik		Guaicuruan	t e t a r i k	tetarik			
223	None	280	bat	1793	Abipon	kahit		Guaicuruan	k a h i t	kahit			
224	k a p ai k	281 282	cat	1208	Abipon	kapaik		Guaicuruan	k a p ai k	kapaik			Najlis relates it to a root 'kap': to desire, but it's probably cognate of Toba 'copaic'
225	a l w ei	283	bee	665	Abipon	aloei		Guaicuruan	a l w ei	aloei			Cognate of Mocoví 'lauoic'?
226	k a h a o ʁ a	284 3	parrot	882	Abipon	kahaoRa		Guaicuruan	k a h a o ʁ a	kahaoRa			
227	None	285	parrot	882	Abipon	natalgela		Guaicuruan	n a t a l g e l a	natalgela			
228	n a t a l g e l a + l a t e ŋ k	285 286	parrot	882	Abipon	natalgela latenk	? big	Guaicuruan	n a t a l g e l a + l a t e ŋ k	natalgela latenk			Big parrot
229	n e t e g i ŋ k + l + w a p a ʁ a t	1 287 288 289 290	flea	232	Abipon	netegink l+oapaRat	dog _:poss insect	Guaicuruan	n e t e g i ŋ k + l + w a p a ʁ a t	netegink loapaRat			
230	None	291 292	fly	1504	Abipon	oalat+Rañi		Guaicuruan	w a l a t + ʁ a ɲ i	oalat+Rañi			
231	h eː g e h a q	293 294	deer	1936	Abipon	hëëgehaq		Guaicuruan	h eː g e h a q	hëëgehaq			
232	None	295	deer	1936	Abipon	oacigranigal		Guaicuruan	w a tʃ i g r a n i g a l	oacigranigal			
233	None	296	turtle	112	Abipon	epaRek		Guaicuruan	e p a ʁ e k	epaRek			
234	None	297 6 298	calf	1989	Abipon	oaka+l laetaRat	cow _:poss ?	Guaicuruan	w a k a + l + l a e t a ʁ a t	oaka+l laetaRat			
235	w e h e k	299	ant	587	Abipon	oehek		Guaicuruan	w e h e k	oehek			Also 'itch'
236	n a + p a k e n a + l a + w e l	300 301 302 303	palm of hand	1183	Abipon	na+pakena la+oel	_:poss hand _:poss interior	Guaicuruan	n a + p a k e n a + l a + w e l	napakena laoel			
237	None	6 75	fur	580	Abipon	l+etegk	_:poss hair	Guaicuruan	l + e t e g k	letegk			
238	e w e	239	hair (head)	2648	Abipon	eoe	hair	Guaicuruan	e w e	eoe			
